cardinal,total_sibs,birth_order,source
"(31) 1. STAMPA, Gaetano (1667-1742)","","",fiu_scrape
"(62) 5. FACCHINETTI, Cesare (1608-1683)","","",fiu_scrape
"(67) 9. ALTHAN, Mihály Frigyes (1682-1734)","","",fiu_scrape
"(20) 5. COMASTRI, Angelo","","",fiu_scrape
"(7) 6. GRIMANI, Domenico (1461-1523)",>4,>1,fiu_scrape
"(59) 12. RECANATI CAPODIFERRO, Girolamo (1502/1504-1559)","","",fiu_scrape
"(18) 4. LASAGNI, Pietro",4,3,
"(229) 28. JOOS, Gustaaf",8,8,
"(58) 3. ROVERO, Giovanni Battista (1684-1766)",5,4,fiu_scrape
"(97) 12. MAHONY, Roger Michael",3,2,
"(65) 4. GRÉGOIRE, Paul",12,,
"(86) 11. TOMASI, C.S., Silvano Maria",2,"",fiu_scrape
"(25) 25. CARDIJN, Joseph-Léon",,,
Lucian Mureșan,12,10,
"(34) 4. MUTI, Tiberio (1574-1636)",9,3,fiu_scrape
"(41) 15. TOLOMEI, S.J., Giovanni Battista (1653-1726)","",1,fiu_scrape
"(51) 1. CENNINI DE' SALAMANDRI, Francesco (1566-1645)",2,2,fiu_scrape
"(8) 1. CROY, Guillaume III de (1498-1521)",8,2,fiu_scrape
"(60) 5. TRAUTSON, Johannes Joseph von (1704-1757)",8,4,fiu_scrape
"(25) 11. LAURO, Vincenzo (1523-1592)",7,"",fiu_scrape
"LOBO GUERRERO, Bartolomé (1546-1623)",>3,"",fiu_scrape
"(66) 1. VANNUTELLI, Vincenzo",>1,>1,
"(5) 4. BORGIA, Cesare (1475-1507)","","",fiu_scrape
"(18) 2. GUISE DE LORRAINE, Louis I de (1527-1578)",12,4,fiu_scrape
"(33) 7. BUSSI, Giovanni Battista (1657-1726)",7,7,fiu_scrape
"(5) 1. CAETANI, Luigi (1595-1642)","","",fiu_scrape
"(1) 1. GOUFFIER DE BOISSY, Adrien (ca. 1479-1523)",>2,>2,fiu_scrape
(1582-1653),6,2,fiu_scrape
"(1) 1. GROSSO DELLA ROVERE, O.F.M.Conv., Clemente (ca. 1462-1504)","",2,fiu_scrape
"(38) 3. BATTAGLINI, Francesco",,,
"(16) 15. LA TRÉMOILLE, Joseph-Emmanuel de (1659-1720)","","",fiu_scrape
"(19) 5. JOYEUSE, François de (1562-1615)",>6,>1,fiu_scrape
"(49) 2. CARACCIOLO, iuniore, Innico (1642-1730)","","",fiu_scrape
"(44) 11. KLESL, Melchior (1552-1630)","","",fiu_scrape
"(44) 7. IMPERIALI, Cosimo (1685-1764)",4,4,fiu_scrape
"(66) 2. VINCENTI MARERI, Ippolito Antonio (1738-1811)",5,5,fiu_scrape
"(85) 10. ARIZMENDI ESQUIVEL, Felipe","","",fiu_scrape
"(75) 13. DAL CORSO, P.S.D.P., Eugenio",6,2,fiu_scrape
"(69) 7. AVIZ, Jão Braz de",8,"",fiu_scrape
"(42) 1. MARK, Eberhard von der (1472-1538)","",3,fiu_scrape
"(60) 22. SGRECCIA, Elio",6,6,
"(43) 9. RIMINALDI, Giovanni Maria (1718-1789)","",1,fiu_scrape
"(35) 1. GARAMPI, Giuseppe (1725-1792)","",2,fiu_scrape
"(17) 9. VITELLI, Vitellozzo (1531-1568)",5,1,fiu_scrape
"(25) 4. MOLINA Y OVIEDO, O.E.S.A., Gaspar de (1679-1744)","","",fiu_scrape
"(25) 1. LUSIGNAN, Lancelot de (ca. 1406-1451)","","",fiu_scrape
"(63) 9. SALDANHA DA GAMA, Francisco de (1713-1776)",18,7,fiu_scrape
"(11) 10. VALLEMANI, Giuseppe (1648-1725)","","",fiu_scrape
"(21) 6. ARAGONA, Giovanni d' (1456-1485)",>3,>3,fiu_scrape
(1645-1705),3,"",fiu_scrape
"(4) 1. BADEN-DURLACH, O.S.B., Bernhard Gustav von (1631-1677)",11,3,fiu_scrape
"(40) 24. CAVALIERI, Gasparo (1648-1690)","","",fiu_scrape
"(45) 6. BORROMEO, Vitaliano (1720-1793)",6,3,fiu_scrape
"(48) 14. LIVIZZANI, Carlo (1722-1802)",5,4,fiu_scrape
"(1) 1. CAPRANICA, Angelo (ca. 1415-1478)",>1,"",fiu_scrape
"(6) 1. SANSEVERINO, Lucio (1564 or 1565-1623)",7,2,fiu_scrape
"(21) 2. RIVAROLA, Domenico (1575-1627)",6,2,fiu_scrape
"(13) 12. ESTE, Ippolito I d' (1479-1520)",9,5,fiu_scrape
"(40) 1. BRANDENBURG, Albrecht von (1490-1545)",7,"",fiu_scrape
"(13) 8. PAPPACODA, Sigismondo (1456-1536)",6,3,fiu_scrape
"(28) 1. CUSANI, Agostino (1542-1598)",12,4,fiu_scrape
"(36) 17. DE MAGISTRIS, Luigi",6,6,fiu_scrape
"(21) 21. COLOMBO, Giovanni",7,6,
"(32) 9. BONCOMPAGNI, Ugo (1502-1585)",>4,>4,fiu_scrape
"(57) 7. GHERARDI, Cesare (1577-1623)",1,1,fiu_scrape
"(75) 13. DUKA, O.P., Dominik","","",fiu_scrape
"(39) 31. PORTUGAL, Afonso de (1509-1540)",>4,>4,fiu_scrape
"(45) 4. CAMPORI, Pietro (ca. 1553-1643)",4,1,fiu_scrape
"(1) 1. PUCCI, Lorenzo (1458-1531)","","",fiu_scrape
"(13) 10. HOSIUS, Stanisław (1504-1579)",3,3,fiu_scrape
"(7) 4. ACCIAPACCIO, Niccolò d' (1383-1447)","",2,fiu_scrape
"(34) 1. BATORY, Andrzej (1566-1599)",>2,"",fiu_scrape
"(2) 2. URBANI, Giovanni",7,1,
"44) 3. BELMOSTO, Ottavio (1559-1618)",3,1,fiu_scrape
"(16) 1. KHORAICHE, Antoine-Pierre",7,1,
"(44) 10. MASSEI, Paolo (1712-1785)",6,2,fiu_scrape
"(41) 7. GALLO, Muzio (1721-1801)",8,5,fiu_scrape
"(30) 14. PETRUCCI, Orat., Pier Matteo (1636-1701)","","",fiu_scrape
"(34) 9. ALBANI, Gian Francesco (1720-1803)","","",fiu_scrape
"(12) 7. PERETTI, O.F.M. Conv., Felice (1521-1590)","","",fiu_scrape
"(26) 2. PARDO DE TAVERA, Juan (1472-1545)","","",fiu_scrape
"(40) 3. STOPPANI, Giovanni Francesco (1695-1774)",5,5,fiu_scrape
"(69) 3. DUNAJEWSKI, Albin",3,,
"(62) 1. MARTÍNEZ SOMALO, Eduardo",10,,
"(39) 1. BRANCACCIO, Francesco Maria (1592-1675)","","",fiu_scrape
"(28) 13. SARR, Théodore-Adrien",7,,https://en.wikipedia.org/wiki/Th%C3%A9odore-Adrien_Sarr
"(50) 12. MAZOMBWE, Medardo Joseph",8,,
"(6) 2. CENCI, Tiberio (1580-1653)","","",fiu_scrape
"(59) 26. O'CONNOR, John Joseph",,4,
"(76) 1. GRECH, Mario","","",fiu_scrape
"(28) 9. KOVITHAVANIJ, Francis Xavier Kriengsak",4,2,fiu_scrape
"(27) 1. BORGHESE, Francesco (1697-1759)",9,6,fiu_scrape
"(31) 16. DINARDO, Daniel Nicholas",4,2,
"(129) 22. RAZAFINDRATANDRA, Armand Gaétan",,,
"(139) 2. BOVONE, Alberto",5,5,
"(3) 2. SACRATI, Francesco (1567-1623)","","",fiu_scrape
"(9) 1. CALCAGNINI, Guido (1725-1807)",5,3,fiu_scrape
"(41) 1. LORRAINE, Jean de (1498-1550)","",6,fiu_scrape
"(29) 2. SANTACROCE, Antonio (1599-1641)","","",fiu_scrape
"(1) 1. ROSPIGLIOSI, Giacomo (1628-1684)",17,4,fiu_scrape
"(21) 4. MOTA E SILVA, João da (1685-1747)",>1,"",fiu_scrape
"(10) 10. DORIA, Giorgio (1708-1759)","","",fiu_scrape
"(16) 16. COLONNA, Girolamo (1708-1763)","","",fiu_scrape
"(221) 20. PELL, George",5,3,
"DATI, O.P., Leonardo (ca. 1360-1425)",>1,"",fiu_scrape
"(13) 4. GALLO, Antonio Maria (1553-1620)",8,2,fiu_scrape
"(4) 4. GUIDI DI BAGNO, Nicolò (1583-1663)","",2,fiu_scrape
"(99) 11. POOLA, Anthony",6,"",fiu_scrape
"(144) 7. ARAÚJO, Serafim Fernandes de",16,1,
"(6) 1. INGUANZO Y RIVERO, Pedro de (1764-1836)",13,,
"(168) 9. DAOUD, Ignace Moussa I",6,,
"(4) 1. CHARTRES, Regnault de (ca. 1380-1444)","","",fiu_scrape
"(11) 11. Ó FIAICH, Tomás",2,2,
"(13) 9. GONZAGA, O.S.Io.Hier., Giovanni Vincenzo (1540-1591)","","",fiu_scrape
"(24) 1. GRAMONT, Gabriel de (1486-1534)","","",fiu_scrape
"(51) 1. MENDOÇA, José Francisco Miguel António de (1726-1808)",16,16,fiu_scrape
"(28) 8. SANTACROCE, Marcello (1619-1674)",>1,"",fiu_scrape
"(37) 11. CUNHA E ATAÍDE, Nuno da (1664-1750)",5,5,fiu_scrape
"(10) 5. CARDONA Y ENRÍQUEZ, Enrique de (1485-1530)","","",fiu_scrape
"(32) 3. COLIGNY DE CHÂTILLON, Odet de (1517-1571)",>1,>1,fiu_scrape
"(1) 1. ARAGONA, Luigi d' (1474-1519)","","",fiu_scrape
"(39) 5. FIESCHI, Niccolò (ca. 1456-1524)",11,5,fiu_scrape
"(26) 26. MINDSZENTY, József",6,,
"(48) 9. PARACCIANI, Urbano (1715-1777)",6,1,fiu_scrape
"(31) 2. LONGWY DE GIVRY, Claude de (1481-1561)",7,3,fiu_scrape
"(55) 22. SIMONIS, Adrianus Johannes",11,1,
"(5) 4. RUSPOLI, Bartolomeo (1697-1741)","","",fiu_scrape
"(29) 4. LA ROCHEFOUCAULD DE ROYE, Frédéric-Jérôme de (1701-1757)",6,3,fiu_scrape
"(3) 1. BANDI, Giovanni Carlo (1709-1784)","","",fiu_scrape
"(29) 1. ORLÉANS-LONGUEVILLE, Jean d' (1484-1533)",>2,>2,fiu_scrape
"(57) 2. D'ANNIBALE, Giuseppe",,,
"(60) 10. SPÍNOLA, Agustín (1597-1649)",5,2,fiu_scrape
"(29) 1. BOISGELIN DE CUCÉ, Jean-de-Dieu-Raymond de (1732-1804)",3,2,
"(39) 6. OBANDO BRAVO, S.D.B., Miguel",6,2,
"(47) 6. COBELLUZZI, Scipione (1564-1626)","","",fiu_scrape
"(7) 1. BOHIER DU PRAT, O.S.B., Antoine (ca. 1460-1519)","","",fiu_scrape
"(7) 6. GIUDICE, Francesco del (1647-1725)",15,5,fiu_scrape
"(17) 2. DAHE, Ximeno (second half of the 14th century-ca. 1431)","","",fiu_scrape
"(59) 21. ESTEPA LLAURENS, José Manuel","","",fiu_scrape
"(123) 16. KEELER, William Henry",5,,https://en.wikipedia.org/wiki/William_H._Keeler
"(6) 4. FISHER, John (1469-1535)",>1,"",fiu_scrape
"(19) 1. TOURNON, Can. Reg. of Saint Augustine, François de (1489-1562)","",5,fiu_scrape
"(1) 1. AGAGIANIAN, Grégoire-Pierre XV",,,
"(28) 2. FERRERI, O.P., Carlo Vincenzo (1682-1742)",4,3,fiu_scrape
"(3) 2. SPINOLA, Orazio (1547?-1616)",9,3,fiu_scrape
"(22) 2. PIMENTEL ZÚÑIGA, O.P., Domingo (1584-1653)","",4,fiu_scrape
"(2) 2. SFORZA DI SANTA FIORA, Guido Ascanio (1518-1564)","","",fiu_scrape
(1630-1704),"","",fiu_scrape
"(52) 14. MONSENGWO PASINYA, Laurent",8,2,fiu_scrape
"(4) 4. FARNESE, Francesco Maria (1619-1647)",9,9,fiu_scrape
